order_id,city_tier,customer_age,customer_loyalty_score,order_hour,order_day_of_week,order_month,delivery_distance_km,preparation_time_minutes,delivery_time_minutes,estimated_delivery_time,traffic_level_score,weather_severity_score,restaurant_rating,delivery_partner_rating,customer_rating,order_value,delivery_fee,discount_amount,tip_amount,final_amount_paid,number_of_items,cancellation_flag,delayed_delivery_flag,refund_flag,promo_code_used,premium_customer_flag,festival_or_weekend_flag,delivery_partner_experience_years,delivery_efficiency_score
5a87c6ab-e4a8-44ef-8852-f7a63e3b3943,2,21,4.957522429,20,6,6,14.11714354,23,76,68,5.4,2.6,4.3,4.1,2.9,100,14.59260232,22.96935931,19.94054117,111.5637842,4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,9,71.1
8eab78a5-a5c5-41d7-9a5f-5779ee5f2d3d,1,63,38.74472106,0,2,2,9.177353902,16,34,40,1,1.6,4,4.2,3.4,100,4.391720338,4.434405214,16.10194919,116.0592643,7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,12,100
1338cc5b-e5cf-419f-a7c9-4a2577608715,1,68,45.1709966,9,2,11,34.75392093,41,152,142,8.3,4.1,4.4,4.2,3.7,100,9.006406984,14.97969124,17.68145402,111.7081698,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,34.4
5277f2fb-b1b3-4f58-9975-12f8f1b71421,2,30,10.57300311,6,6,5,26.59618413,9,93,93,3.2,8.8,4.8,4.6,4.1,145.1134423,11.40703416,14.81304358,11.5939124,153.3013453,7,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,45
df159a97-3a78-4b08-a524-ec433c75b670,2,60,58.28462016,12,1,9,26.20415184,49,141,134,7.5,9.5,4,3.9,4.6,100,11.57223188,13.71630751,13.27288301,111.1288074,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,25.1
5e180dec-043d-4300-aba6-271dab40edfc,3,40,83.62200132,19,5,12,5.380322993,57,62,68,1,4.5,4,3.9,4.4,100,4.548618429,19.38507708,1.964614663,87.12815602,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,73.6
13643241-8c6c-48a4-8d03-863deafeb216,2,47,73.19531512,16,1,4,29.84901424,16,93,109,5.1,7.8,4.8,4.7,3.4,100,5.42935636,28.72276862,7.137641813,83.84422955,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,10,58.9
7fc48f3b-b50b-44d8-ae6b-73085c131aa5,3,57,84.82372194,2,4,8,6.622346152,32,40,53,1,5.9,4.4,4,3.8,100,9.86375819,0.298066832,7.805911184,117.3716025,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,13,96.6
70d9ed9f-fe98-4144-b00d-7ee169bf9d40,3,20,45.12800961,21,1,10,9.291363816,13,83,63,7.3,9.8,3.9,3.7,4,113.1798015,9.451542972,5.640877501,5.358307602,122.3487746,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,39.3
2b538d8f-4edb-492d-aa1b-ebdd76392762,1,45,0.628703674,22,4,4,34.2691453,37,126,131,8,0.1,4.3,4,3.9,107.0048862,4.419054872,13.39211534,24.22617273,122.2579985,7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10,51.4
